,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2639,2200,-1,
1,2,1,1,0,0,0,1,11,636,66,-1,
2,3,1,1,1,0,0,1,11,636,59,-1,
3,4,1,1,1,1,0,1,11,458,25,-1,
4,5,1,1,1,1,1,1,12,195,22,82,PGM:MKGEN2
5,5,1,1,1,1,2,284,11,175,25,90,/MKORSHRK
6,4,1,1,1,2,0,3,40,634,37,-1,
7,5,1,1,1,2,1,3,47,55,20,84,JOB
8,5,1,1,1,2,2,67,52,5,15,70,:
9,5,1,1,1,2,3,86,44,210,25,55,MKIPORSHAM/
10,5,1,1,1,2,4,296,40,123,37,51,IPHQMK
11,5,1,1,1,2,5,504,44,133,25,92,/010006
12,2,1,2,0,0,0,983,14,615,20,-1,
13,3,1,2,1,0,0,983,14,615,20,-1,
14,4,1,2,1,1,0,983,14,615,20,-1,
15,5,1,2,1,1,1,983,14,94,20,96,SALES
16,5,1,2,1,1,2,1103,14,135,20,96,SUMMARY
17,5,1,2,1,1,3,1261,14,117,20,96,REPORT
18,5,1,2,1,1,4,1401,14,37,19,96,BY
19,5,1,2,1,1,5,1461,14,137,20,96,PRODUCT
20,2,1,3,0,0,0,1140,47,419,24,-1,
21,3,1,3,1,0,0,1140,47,419,24,-1,
22,4,1,3,1,1,0,1140,47,419,24,-1,
23,5,1,3,1,1,1,1140,47,117,20,91,AMTOPP
24,5,1,3,1,1,2,1281,47,70,24,93,"DIV,"
25,5,1,3,1,1,3,1382,47,177,20,90,LOLITA-TX
26,2,1,4,0,0,0,1621,178,277,25,-1,
27,3,1,4,1,0,0,1621,178,277,25,-1,
28,4,1,4,1,1,0,1621,178,277,25,-1,
29,5,1,4,1,1,1,1621,178,277,25,48,UNIT-SUNIT-FRT
30,2,1,5,0,0,0,421,220,1277,3,-1,
31,3,1,5,1,0,0,421,220,1277,3,-1,
32,4,1,5,1,1,0,421,220,1277,3,-1,
33,5,1,5,1,1,1,421,220,1277,3,95, 
34,2,1,6,0,0,0,421,224,1277,3,-1,
35,3,1,6,1,0,0,421,224,1277,3,-1,
36,4,1,6,1,1,0,421,224,1277,3,-1,
37,5,1,6,1,1,1,421,224,1277,3,95, 
38,2,1,7,0,0,0,0,78,1758,489,-1,
39,3,1,7,1,0,0,1,78,1757,89,-1,
40,4,1,7,1,1,0,1,78,1435,25,-1,
41,5,1,7,1,1,1,1,81,212,20,96,DEPARTMENT:
42,5,1,7,1,1,2,240,81,179,20,96,MARKETING
43,5,1,7,1,1,3,441,81,91,20,96,UNIT:
44,5,1,7,1,1,4,562,81,36,19,96,LB
45,5,1,7,1,1,5,1161,81,92,20,95,DATE:
46,5,1,7,1,1,6,1284,78,152,25,95,10/01/21
47,4,1,7,1,2,0,282,147,1476,20,-1,
48,5,1,7,1,2,1,282,149,36,16,85,<-
49,5,1,7,1,2,2,341,147,97,19,96,DAILY
50,5,1,7,1,2,3,461,147,98,20,92,ORDER
51,5,1,7,1,2,4,582,149,95,16,84,-><--
52,5,1,7,1,2,5,700,147,57,19,95,MTD
53,5,1,7,1,2,6,801,147,98,20,92,ORDER
54,5,1,7,1,2,7,922,147,196,19,76,--><-DAILY
55,5,1,7,1,2,8,1163,147,315,20,43,SHIPMENT-><-----
56,5,1,7,1,2,9,1500,147,58,19,93,MID
57,5,1,7,1,2,10,1603,147,155,20,94,SHIPMENT
58,3,1,7,2,0,0,21,177,1557,35,-1,
